Symbol,ALF,ALF,ALF,average,healthy,healthy,count,t-test,fold change
SOGA1,54.3219885,51.328216,49.61309225,51.75443225,18.65259425,18.07306575,18.36283,0.000336,2.818434427
TSPAN6,36.7524205,30.2788315,95.0200205,54.01709083,904.5959965,813.346485,858.9712408,0.000336,0.0628857967
GHITM,83.469509,148.6027077,223.123228,151.7318149,1120.400543,1109.918542,1115.159543,0.000348,0.136062876
TMEM135,7.7167185,12.612818,23.9109745,14.746837,303.5149145,267.540321,285.5276178,0.000354,0.0516476729
CHP1,162.733595,202.391824,256.809268,207.3115623,1235.888826,1365.775355,1300.832091,0.000358,0.159368426
HS3ST3B1,53.26929967,24.88033,38.542901,38.89751022,243.8071937,256.9710897,250.3891417,0.000366,0.155348231
LMBRD1,42.195923,30.855957,27.902415,33.65143167,334.099179,379.5900775,356.8446283,0.000368,0.0943027553
KCNT2,19.493844,16.7820315,34.5395055,23.605127,207.037824,228.571127,217.8044755,0.000368,0.108377603
PRG4,6.739707,6.260538,9.577462,7.525902333,460.969763,533.554468,497.2621155,0.000369,0.0151346787
BTNL9,78.3794178,76.2227886,79.854478,78.15222813,40.8288738,44.6810714,42.7549726,0.000381,1.827909676
MPC2,88.991014,65.463518,117.1300855,90.52820583,830.648154,739.997476,785.322815,0.000383,0.115275151
FBXO30,21.603121,29.354595,29.092047,26.68325433,108.678991,100.917213,104.798102,0.000383,0.254615817
C6orf120,37.2321945,38.1280325,65.509398,46.95654167,316.5460485,294.6825725,305.6143105,0.000383,0.15364641
GHR,50.046448,13.811116,161.316659,75.05807433,1436.390754,1313.402367,1374.896561,0.000392,0.0545917973
INSIG2,33.356246,23.023042,26.275415,27.55156767,251.578131,286.681553,269.129842,0.000394,0.102372771
TCEA1,54.64548733,85.84258867,83.336424,74.60816667,315.1141383,305.5804563,310.3472973,0.0004,0.240402179
ZFP36,496.752548,409.915237,480.013711,462.2271653,1144.683867,1102.971307,1123.827587,0.000403,0.411297223
DHRS4-AS1,23.5827235,39.424349,58.4405115,40.482528,322.1945045,299.5382625,310.8663835,0.000411,0.130224849
CPN2,29.941276,8.932346,35.964048,24.94589,563.569955,648.52559,606.0477725,0.000413,0.0411615901
COX17,63.5830185,104.15016,141.7500035,103.1610607,634.4109515,615.314343,624.8626473,0.000414,0.165093979
CTR9,38.997673,17.339168,89.892327,48.743056,590.907187,558.230006,574.5685965,0.000418,0.0848341805
MYSM1,12.98081467,11.840863,17.22118033,14.014286,54.859896,52.35014633,53.60502117,0.000433,0.261436069
PAICS,46.11628733,28.83681333,78.65167133,51.20159067,378.8230347,372.7486257,375.7858302,0.000436,0.136252053
C2,55.003166,48.586632,67.7429055,57.11090117,311.899515,350.3129095,331.1062123,0.000438,0.172485139
USP38,18.33305633,20.384796,35.56310767,24.76032,237.8137953,212.5061283,225.1599618,0.00044,0.109967686
RNF11,104.029436,142.040395,146.942383,131.0040713,666.702273,602.766457,634.734365,0.000441,0.206391963
MCCC2,25.71325433,32.06780133,58.52620233,38.769086,594.619409,683.6077543,639.1135817,0.000454,0.0606607137
CYBB,76.04403375,72.42076975,70.26200825,72.90893725,30.15521,33.1856425,31.67042625,0.000458,2.302114177
CFHR2,496.5799,19.522404,237.745007,251.282437,3272.231712,3217.990602,3245.111157,0.000467,0.077434154
TBC1D23,31.799721,34.746626,60.858524,42.46829033,273.368996,295.588898,284.478947,0.00047,0.149284475
WWP2,93.8460525,90.46083475,95.2710655,93.19265092,55.8005555,58.84929525,57.32492538,0.000478,1.625691622
MID1IP1,38.281682,75.891059,82.040845,65.40452867,426.321708,396.393242,411.357475,0.000479,0.158996816
JAGN1,37.694381,104.381874,92.330375,78.13554333,517.879495,515.00857,516.4440325,0.000482,0.151295278
SULT2A1,115.783665,15.4787975,182.9101555,104.724206,1192.254464,1263.324595,1227.78953,0.000487,0.085294917
GNE,37.172269,17.206827,58.987069,37.78872167,1111.678769,953.231712,1032.455241,0.000504,0.0366008328
BMPER,6.697262,7.334045,6.733548,6.921618333,16.12546,14.895204,15.510332,0.000512,0.446258554
BET1,53.639241,90.242545,45.844039,63.24194167,354.941583,348.145168,351.5433755,0.000516,0.179897976
STOML2,52.944974,61.710798,49.815318,54.82369667,166.012491,153.634542,159.8235165,0.000519,0.34302647
C2orf47,107.446716,156.879193,192.571397,152.299102,662.131959,659.812907,660.972433,0.000535,0.230416723
LOC101060275,6879.836553,6212.25223,6096.164467,6396.084417,1214.407891,911.355983,1062.881937,0.000538,6.017680981
TMEM192,63.8662905,53.6590985,127.918541,81.81464333,615.9523235,665.7846845,640.868504,0.000547,0.127662138
TMEM123,435.717303,266.363008,619.25105,440.443787,2516.834427,2547.638419,2532.236423,0.000547,0.173934702
B9D2,80.868369,81.728643,78.792524,80.46317867,51.263271,54.800173,53.031722,0.000548,1.517265056
LINC00526,23.912697,25.322684,35.3266,28.187327,125.85313,138.374841,132.1139855,0.000552,0.213356117
VAMP7,39.337065,114.830047,37.829314,63.99880867,592.865155,579.088866,585.9770105,0.00056,0.109217269
MIR6778,223.0813365,116.3281095,281.6314125,207.0136195,1885.302538,2146.124829,2015.713684,0.000567,0.102699913
GPR126,20.403039,14.17636567,47.996076,27.52516022,263.6738593,286.1485347,274.911197,0.000568,0.100123824
CDC40,29.5021075,35.7288035,52.780337,39.33708267,179.332485,180.43454,179.8835125,0.000569,0.218680868
TPD52L1,92.927236,55.1076295,144.229872,97.42157917,925.9809925,825.0823605,875.5316765,0.000585,0.111271336
TLK1,28.12084986,20.536911,26.345298,25.00101962,72.68207043,75.99732971,74.33970007,0.000595,0.336307782
STARD4,57.224364,56.492793,63.100095,58.939084,376.118685,436.305574,406.2121295,0.000598,0.145094348
MRPS28,20.772751,41.755797,36.896006,33.141518,556.45062,474.98394,515.71728,0.000601,0.0642629582
LOC102724985,71.5786415,90.9559135,100.6021235,87.71222617,350.1564925,389.826432,369.9914622,0.000605,0.237065541
CFI,315.6423005,18.7026245,249.67839,194.6744383,2262.983039,2484.945467,2373.964253,0.000609,0.0820039468
LRRC40,336.8132755,278.470786,340.5945395,318.6262003,820.356679,773.384594,796.8706365,0.000609,0.399846833
ENPP1,65.959693,25.403127,47.84705,46.40329,279.3503415,275.0797365,277.215039,0.000623,0.167390955
MUM1L1,41.928281,42.013571,38.546855,40.829569,69.831123,73.612553,71.721838,0.000624,0.569276669
ISOC1,46.225137,41.876835,277.244243,121.7820717,1638.782872,1702.201868,1670.49237,0.000641,0.0729019024
PSMA5,77.0355145,40.0483735,100.2198765,72.43458817,452.7763385,427.5179815,440.14716,0.000642,0.164569023
SLC25A15,120.5154945,25.397502,72.7919635,72.90165333,602.70212,616.3252305,609.5136753,0.000645,0.119606264
